S.No.	Post Office	pincode	Taluk	City	Delievery Type
1	A Narayanapuram B.O	515004	Anantapur	Ananthapur	Delivery
2	Achampalle B.O	515621	Kambadur	Ananthapur	Delivery
3	Adadakulapalli B.O	515124	Penukonda	Ananthapur	Delivery
4	Agali S.O (Ananthapur)	515311	Agali	Ananthapur	Delivery
5	Agraharam B.O	515281	Amarapuram	Ananthapur	Delivery
6	Agraharam B.O	515154	Bukkapatnam	Ananthapur	Delivery
7	Akuledu B.O	515731	Singanamala	Ananthapur	Delivery
8	Aladahalli B.O	515281	Amarapuram	Ananthapur	Delivery
9	Alamuru B.O	515002	Anantapur	Ananthapur	Delivery
10	Allapuram B.O	515766	Kundurpi	Ananthapur	Delivery
11	Aluru B.O	515415	Tadipatri	Ananthapur	Delivery
12	Amadagur S.O	515556	Amadagur	Ananthapur	Delivery
13	Amagondapalem B.O	515144	Puttaparthi	Ananthapur	Delivery
14	Amarapuram S.O	515281	Amarapuram	Ananthapur	Delivery
15	Amidalagondi B.O	515301	Madakasira	Ananthapur	Delivery
16	Amidalakunta B.O	515651	Hindupur	Ananthapur	Delivery
17	Amidyaya S.O	515822	Uravakonda	Ananthapur	Delivery
18	Ammaladinne S.O	515445	Tadpatri	Ananthapur	Delivery
19	Anantapur Collectorate S.O	515001	Anantapur	Ananthapur	Non-Delivery
20	Anantapur Engg College S.O	515002	Anantapur	Ananthapur	Delivery
21	Anantapur H.O 
                                        
                                          H.O	515001	Anantapur	Ananthapur	Delivery
22	Ankampalli B.O	515741	Beluguppa	Ananthapur	Delivery
23	Anumpalli B.O	515775	Pamidi	Ananthapur	Delivery
24	Appecharla B.O	515455	Peddavadugur	Ananthapur	Delivery
25	Appilepalli B.O	515766	Kundurpi	Ananthapur	Delivery
26	Apprascheruvu B.O	515661	Bathalapalli	Ananthapur	Delivery
27	Arakatavemula B.O	515445	Ammalladinne	Ananthapur	Delivery
28	Araveedu B.O	515465	Yellanur	Ananthapur	Delivery
29	Aravindanagar S.O	515001	Anantapur	Ananthapur	Non-Delivery
30	Aswartharayaniroppam B.O	515301	Madakasira	Ananthapur	Delivery
31	Atmakur B.O	515631	Tadimarri	Ananthapur	Delivery
32	Atmakur(ATP) S.O	515751	Atmakur	Ananthapur	Delivery
33	Avuladatla B.O	515867	Rayadurg	Ananthapur	Delivery
34	Avulanna B.O	515741	Beluguppa	Ananthapur	Delivery
35	Aydukallu B.O	515763	Settur	Ananthapur	Delivery
36	Ayyagarlapalli B.O	515767	Shetturu	Ananthapur	Delivery
37	Ayyavaripalli B.O	515775	Guntakal	Ananthapur	Delivery
38	Ayyavaripalli B.O	515722	Raptadu	Ananthapur	Delivery
39	B.N.Halli B.O	515867	Rayadurg	Ananthapur	Delivery
40	B.T.Project B.O	515863	Gummagatta	Ananthapur	Delivery
41	Badannapalli B.O	515672	Dharmavaram	Ananthapur	Delivery
42	Badavandlapalli B.O	515501	Bathalapalle	Ananthapur	Delivery
43	Badenaikthanda B.O	515134	Puttaparthi	Ananthapur	Delivery
44	Balasamudram B.O	515571	Tanakallu	Ananthapur	Delivery
45	Bandameedapalli B.O	515722	Raptadu	Ananthapur	Delivery
46	Bandlapalli B.O	515425	Narpala	Ananthapur	Delivery
47	Bandlapalli B.O	515110	Kothacheruvu	Ananthapur	Delivery
48	Basampalli B.O	515651	Chennekothapalle	Ananthapur	Delivery
49	Basapuram B.O	515766	Kundurpi	Ananthapur	Delivery
50	Basavanahalli B.O	515305	Amarapuram	Ananthapur	Delivery
51	Basinepalli B.O	515402	Gooty	Ananthapur	Delivery
52	Bathalapalli S.O	515661	Bathalapalli	Ananthapur	Delivery
53	Bavarampalli B.O	515761	Kalyandurg	Ananthapur	Delivery
54	Beechaganipalli B.O	515261	Parigi	Ananthapur	Delivery
55	Beedupalli B.O	515134	Puttaparthi	Ananthapur	Delivery
56	Belguppa S.O	515741	Beluguppa	Ananthapur	Delivery
57	Belodu B.O	515867	Gummagatta	Ananthapur	Delivery
58	Bestharapalli B.O	515766	Kundurpi	Ananthapur	Delivery
59	Bethapalli B.O	515402	Gooty	Ananthapur	Delivery
60	Bevinahalli B.O	515211	Hindupur	Ananthapur	Delivery
61	Bhadrapuram B.O	515641	Kanaganapalle	Ananthapur	Delivery
62	Bhanukota B.O	515621	Kanaganapalle	Ananthapur	Delivery
63	Bhattuvanipalli B.O	515787	Kalyandurg	Ananthapur	Delivery
64	Bhogasamudram B.O	515415	Tadipatri	Ananthapur	Delivery
65	Bhogasamudram Project S.O	515413	Tadpatri	Ananthapur	Delivery
66	Bhupasamudram B.O	515867	Rayadurg	Ananthapur	Delivery
67	Bhupasamudram B.O	515341	Chilamathur	Ananthapur	Delivery
68	Bhyrasamudram B.O	515767	Brahma Samudram	Ananthapur	Delivery
69	Birepalli B.O	515212	Hindupur	Ananthapur	Delivery
70	Bisalamanepalli B.O	515331	Lepakshi	Ananthapur	Delivery
71	BIT College BO	515202	Hindupur	Ananthapur	Delivery
72	Bollanaguddem B.O	515870	Bommanahal	Ananthapur	Delivery
73	Bommaganipalli S.O	515763	Brahmasamudram	Ananthapur	Delivery
74	Bommagondanahalli B.O	515271	Gudibanda	Ananthapur	Delivery
